DATE,TWO_HOURS_INTERVAL_TWELVE_HOURS_FORMAT,INDEXED_DAY,LMS_SESSION_COUNT
2021-02-19, 12 PM, Fri,1999
2021-02-19,02 PM, Fri,1715
2021-02-19,04 PM, Fri,1618
2021-02-19,06 PM, Fri,1687
2021-02-19,08 PM, Fri,1183
2021-02-19,10 PM, Fri,367
2021-02-20,   12 AM,Sat,168
2021-02-20,  02 AM,Sat,117
2021-02-20,  04 AM,Sat,315
2021-02-20,  06 AM,Sat,916
2021-02-20,  08 AM,Sat,1448
2021-02-20,  10 AM,Sat,1519
2021-02-20, 12 PM,Sat,1580
2021-02-20,02 PM,Sat,1428
2021-02-20,04 PM,Sat,1453
2021-02-20,06 PM,Sat,1399
2021-02-20,08 PM,Sat,1042
2021-02-20,10 PM,Sat,421
2021-02-21,   12 AM,      Sun,176
2021-02-21,  02 AM,      Sun,141
2021-02-21,  04 AM,      Sun,306
2021-02-21,  06 AM,      Sun,976
2021-02-21,  08 AM,      Sun,1616
2021-02-21,  10 AM,      Sun,2175
2021-02-21, 12 PM,      Sun,2551
2021-02-21,02 PM,      Sun,2626
2021-02-21,04 PM,      Sun,3087
2021-02-21,06 PM,      Sun,3412
2021-02-21,08 PM,      Sun,2268
2021-02-21,10 PM,      Sun,512
2021-02-22,   12 AM,     Mon,163
2021-02-22,  02 AM,     Mon,190
2021-02-22,  04 AM,     Mon,771
2021-02-22,  06 AM,     Mon,2815
2021-02-22,  08 AM,     Mon,3287
2021-02-22,  10 AM,     Mon,3212
2021-02-22, 12 PM,     Mon,2407
2021-02-22,02 PM,     Mon,1972
2021-02-22,04 PM,     Mon,2229
2021-02-22,06 PM,     Mon,2370
2021-02-22,08 PM,     Mon,1416
2021-02-22,10 PM,     Mon,397
2021-02-23,   12 AM,    Tue,154
2021-02-23,  02 AM,    Tue,165
2021-02-23,  04 AM,    Tue,760
2021-02-23,  06 AM,    Tue,2496
2021-02-23,  08 AM,    Tue,3178
2021-02-23,  10 AM,    Tue,3258
2021-02-23, 12 PM,    Tue,2509
2021-02-23,02 PM,    Tue,2069
2021-02-23,04 PM,    Tue,2451
2021-02-23,06 PM,    Tue,2460
2021-02-23,08 PM,    Tue,1477
2021-02-23,10 PM,    Tue,426
2021-02-24,   12 AM,   Wed,194
2021-02-24,  02 AM,   Wed,196
2021-02-24,  04 AM,   Wed,957
2021-02-24,  06 AM,   Wed,3335
2021-02-24,  08 AM,   Wed,4088
2021-02-24,  10 AM,   Wed,3593
2021-02-24, 12 PM,   Wed,2738
2021-02-24,02 PM,   Wed,2423
2021-02-24,04 PM,   Wed,2643
2021-02-24,06 PM,   Wed,2677
2021-02-24,08 PM,   Wed,1685
2021-02-24,10 PM,   Wed,478
2021-02-25,   12 AM,  Thu,202
2021-02-25,  02 AM,  Thu,239
2021-02-25,  04 AM,  Thu,666
2021-02-25,  06 AM,  Thu,2005
2021-02-25,  08 AM,  Thu,2625
2021-02-25,  10 AM,  Thu,2704
2021-02-25, 12 PM,  Thu,2198
2021-02-25,02 PM,  Thu,1816
2021-02-25,04 PM,  Thu,1940
2021-02-25,06 PM,  Thu,1880
2021-02-25,08 PM,  Thu,1207
2021-02-25,10 PM,  Thu,385
2021-02-26,   12 AM, Fri,176
2021-02-26,  02 AM, Fri,146
2021-02-26,  04 AM, Fri,566
2021-02-26,  06 AM, Fri,2032
2021-02-26,  08 AM, Fri,2532
2021-02-26,  10 AM, Fri,2320
2021-02-26, 12 PM, Fri,1907
2021-02-26,02 PM, Fri,1552
2021-02-26,04 PM, Fri,1463
2021-02-26,06 PM, Fri,1602
2021-02-26,08 PM, Fri,1172
2021-02-26,10 PM, Fri,343
2021-02-27,   12 AM,Sat,116
2021-02-27,  02 AM,Sat,112
2021-02-27,  04 AM,Sat,326
2021-02-27,  06 AM,Sat,926
2021-02-27,  08 AM,Sat,1392
2021-02-27,  10 AM,Sat,1497
2021-02-27, 12 PM,Sat,1490
2021-02-27,02 PM,Sat,1370
2021-02-27,04 PM,Sat,1290
2021-02-27,06 PM,Sat,1360
2021-02-27,08 PM,Sat,1003
2021-02-27,10 PM,Sat,378
2021-02-28,   12 AM,      Sun,179
2021-02-28,  02 AM,      Sun,153
2021-02-28,  04 AM,      Sun,325
2021-02-28,  06 AM,      Sun,1036
2021-02-28,  08 AM,      Sun,1765
2021-02-28,  10 AM,      Sun,2318
2021-02-28, 12 PM,      Sun,2667
2021-02-28,02 PM,      Sun,2672
2021-02-28,04 PM,      Sun,3186
2021-02-28,06 PM,      Sun,3484
2021-02-28,08 PM,      Sun,2391
2021-02-28,10 PM,      Sun,569
2021-03-01,   12 AM,     Mon,211
2021-03-01,  02 AM,     Mon,199
2021-03-01,  04 AM,     Mon,813
2021-03-01,  06 AM,     Mon,2730
2021-03-01,  08 AM,     Mon,3184
2021-03-01,  10 AM,     Mon,3006
2021-03-01, 12 PM,     Mon,2321
2021-03-01,02 PM,     Mon,1922
2021-03-01,04 PM,     Mon,2150
2021-03-01,06 PM,     Mon,2287
2021-03-01,08 PM,     Mon,1365
2021-03-01,10 PM,     Mon,397
2021-03-02,   12 AM,    Tue,143
2021-03-02,  02 AM,    Tue,172
2021-03-02,  04 AM,    Tue,724
2021-03-02,  06 AM,    Tue,2304
2021-03-02,  08 AM,    Tue,2794
2021-03-02,  10 AM,    Tue,2828
2021-03-02, 12 PM,    Tue,2178
2021-03-02,02 PM,    Tue,1808
2021-03-02,04 PM,    Tue,1958
2021-03-02,06 PM,    Tue,1918
2021-03-02,08 PM,    Tue,1142
2021-03-02,10 PM,    Tue,360
2021-03-03,   12 AM,   Wed,152
2021-03-03,  02 AM,   Wed,159
2021-03-03,  04 AM,   Wed,690
2021-03-03,  06 AM,   Wed,2404
2021-03-03,  08 AM,   Wed,2922
2021-03-03,  10 AM,   Wed,2606
2021-03-03, 12 PM,   Wed,2065
2021-03-03,02 PM,   Wed,1565
2021-03-03,04 PM,   Wed,1860
2021-03-03,06 PM,   Wed,1985
2021-03-03,08 PM,   Wed,1204
2021-03-03,10 PM,   Wed,380
2021-03-04,   12 AM,  Thu,150
2021-03-04,  02 AM,  Thu,166
2021-03-04,  04 AM,  Thu,656
2021-03-04,  06 AM,  Thu,2127
2021-03-04,  08 AM,  Thu,2569
2021-03-04,  10 AM,  Thu,2472
2021-03-04, 12 PM,  Thu,2030
2021-03-04,02 PM,  Thu,1749
2021-03-04,04 PM,  Thu,1946
